,time,collection_id,cluster,avg_cpus_request,avg_memory_request,N
0,4062047162,375022101204,1.0,0.0070675866866430695,0.0049461597528609675,2.0
1,918872239,375002841021,2.0,0.014259733002761302,0.0040392053538355075,2.0
2,2600394865,375015977029,5.0,0.005067497385272816,0.003568723744516285,2.0
3,3072790172,375017361547,5.0,0.005067497385272816,0.003568723744516285,2.0
4,3048548077,375017340147,5.0,0.005067497385272816,0.003568723744516285,3.0
5,2938398405,375017233432,4.0,0.014973958333333334,0.022252400716145832,3.0
6,2808805322,375017149750,5.0,0.005067497385272816,0.003568723744516285,2.0
7,3074268597,375017363840,5.0,0.005067497385272816,0.003568723744516285,2.0
8,1315365237,375007087899,1.0,0.0070675866866430695,0.0049461597528609675,2836.0
9,4849150400,375026660938,1.0,0.0070675866866430695,0.0049461597528609675,2.0
10,4472246519,375025427655,1.0,0.0070675866866430695,0.0049461597528609675,2.0
11,4856810096,375026664904,5.0,0.005067497385272816,0.003568723744516285,2.0
12,3070205589,375017358220,5.0,0.005067497385272816,0.003568723744516285,2.0
13,1713633789,375009263618,1.0,0.0070675866866430695,0.0049461597528609675,2.0
14,1233162702,375007051652,5.0,0.005067497385272816,0.003568723744516285,2.0
15,4605558534,375025527495,1.0,0.0070675866866430695,0.0049461597528609675,2.0
16,2504936339,375014886407,5.0,0.005067497385272816,0.003568723744516285,2.0
17,700129361,375000722593,1.0,0.0070675866866430695,0.0049461597528609675,2.0
18,4414531694,375024397795,5.0,0.005067497385272816,0.003568723744516285,2.0
19,917518716,375002840970,2.0,0.014259733002761302,0.0040392053538355075,2.0
20,1292440628,375007077433,1.0,0.0070675866866430695,0.0049461597528609675,2.0
21,2613765329,375015982880,1.0,0.0070675866866430695,0.0049461597528609675,2.0
22,3190837187,375019454302,5.0,0.005067497385272816,0.003568723744516285,2.0
23,4075701404,375022112287,5.0,0.005067497385272816,0.003568723744516285,2.0
24,3191220531,375019454833,5.0,0.005067497385272816,0.003568723744516285,2.0
25,3071486273,375017360879,5.0,0.005067497385272816,0.003568723744516285,2.0
26,3068737569,375017357573,5.0,0.005067497385272816,0.003568723744516285,2.0
27,3123338329,375019403299,3.0,0.04071044921875,0.004292488098144525,2.0
28,999242131,375003921539,1.0,0.0070675866866430695,0.0049461597528609675,3.0
29,1233070004,375007051620,1.0,0.0070675866866430695,0.0049461597528609675,2.0
30,4446620278,375024416810,5.0,0.005067497385272816,0.003568723744516285,2.0
31,828561030,375002783864,5.0,0.005067497385272816,0.003568723744516285,3.0
32,2944073441,375017273205,5.0,0.005067497385272816,0.003568723744516285,2.0
33,709673916,375000726490,1.0,0.0070675866866430695,0.0049461597528609675,2.0
34,2024633255,375013462939,5.0,0.005067497385272816,0.003568723744516285,3.0
35,3283256886,375019522919,5.0,0.005067497385272816,0.003568723744516285,2.0
36,1240548158,375007054221,5.0,0.005067497385272816,0.003568723744516285,3.0
37,1308601736,375007084316,5.0,0.005067497385272816,0.003568723744516285,2.0
38,3116999051,375018400371,2.0,0.014259733002761302,0.0040392053538355075,2.0
39,4882973204,375026681521,5.0,0.005067497385272816,0.003568723744516285,2.0
40,4708428053,375026589211,5.0,0.005067497385272816,0.003568723744516285,1600.0
41,4471904525,375025427448,1.0,0.0070675866866430695,0.0049461597528609675,2.0
42,4472142334,375025427627,2.0,0.014259733002761302,0.0040392053538355075,2.0
43,4181495012,375024191342,5.0,0.005067497385272816,0.003568723744516285,2.0
44,726958538,375000736173,1.0,0.0070675866866430695,0.0049461597528609675,2.0
45,3075545519,375017365468,5.0,0.005067497385272816,0.003568723744516285,2.0
46,3137474968,375019413604,5.0,0.005067497385272816,0.003568723744516285,2.0
47,1440333477,375007146333,1.0,0.0070675866866430695,0.0049461597528609675,3.0
48,1830611470,375009336354,1.0,0.0070675866866430695,0.0049461597528609675,2.0
49,4962274981,375026760005,1.0,0.0070675866866430695,0.0049461597528609675,992.0
50,4472002464,375025427475,1.0,0.0070675866866430695,0.0049461597528609675,2.0
51,1314868683,375007087639,1.0,0.0070675866866430695,0.0049461597528609675,4.0
52,4708324360,375026589179,5.0,0.005067497385272816,0.003568723744516285,2.0
53,1233230476,375007051686,5.0,0.005067497385272816,0.003568723744516285,2.0
54,4427607855,375024406978,5.0,0.005067497385272816,0.003568723744516285,2.0
55,1910451425,375009383910,1.0,0.0070675866866430695,0.0049461597528609675,576.0
56,3190881676,375019454315,5.0,0.005067497385272816,0.003568723744516285,2.0
57,3133579181,375019411240,3.0,0.04071044921875,0.004292488098144525,2.0
58,2470370236,375014870593,1.0,0.0070675866866430695,0.0049461597528609675,3.0
59,2634825690,375015995910,5.0,0.005067497385272816,0.003568723744516285,3.0
60,1472695406,375007157238,5.0,0.005067497385272816,0.003568723744516285,3.0
61,4079159825,375022113984,5.0,0.005067497385272816,0.003568723744516285,2.0
62,2900181679,375017240612,2.0,0.014259733002761302,0.0040392053538355075,17.0
63,3191014727,375019454321,5.0,0.005067497385272816,0.003568723744516285,2.0
64,921481238,375002842844,2.0,0.014259733002761302,0.0040392053538355075,2.0
65,2492074705,375014881097,5.0,0.005067497385272816,0.003568723744516285,2.0
66,917518746,375002840972,2.0,0.014259733002761302,0.0040392053538355075,2.0
67,4819069196,375026642941,1.0,0.0070675866866430695,0.0049461597528609675,2.0
68,4961928373,375026748211,1.0,0.0070675866866430695,0.0049461597528609675,1008.0
69,2418199643,375014813814,1.0,0.0070675866866430695,0.0049461597528609675,2.0
70,799295823,375001765435,5.0,0.005067497385272816,0.003568723744516285,2.0
