,Unnamed: 0,time,collection_id,cpus,memory,cluster,avg_cpus_request,avg_memory_request,N
0,0,1315364396,375007087899,0.04461669921875,0.0032691955566406,5.0,0.0070675866866430695,0.0049461597528609675,2836.0
1,1,1315364455,375007087899,0.0058135986328125,0.0037803649902343,5.0,0.0070675866866430695,0.0049461597528609675,2836.0
2,2,4962274621,375026760005,0.010833740234375,0.020843505859375,5.0,0.0070675866866430695,0.0049461597528609675,992.0
3,3,4708427278,375026589211,0.0056381225585937,0.0104217529296875,1.0,0.005059715969110621,0.003560749038088832,1600.0
4,4,4962274859,375026760005,0.01611328125,0.029998779296875,5.0,0.0070675866866430695,0.0049461597528609675,992.0
5,5,4708427692,375026589211,0.03619384765625,0.04974365234375,1.0,0.005059715969110621,0.003560749038088832,1600.0
6,6,4708427496,375026589211,0.03228759765625,0.004669189453125,1.0,0.005059715969110621,0.003560749038088832,1600.0
7,7,1315364982,375007087899,0.00775146484375,0.0018978118896484,5.0,0.0070675866866430695,0.0049461597528609675,2836.0
8,8,4962274860,375026760005,0.0010566711425781,0.0016155242919921,5.0,0.0070675866866430695,0.0049461597528609675,992.0
9,9,1315364930,375007087899,0.0094146728515625,0.0020256042480468,5.0,0.0070675866866430695,0.0049461597528609675,2836.0
10,10,1315364531,375007087899,0.0010566711425781,0.0014209747314453,5.0,0.0070675866866430695,0.0049461597528609675,2836.0
11,11,1308601733,375007084316,0.0007925033569335,0.0001659393310546,1.0,0.005059715969110621,0.003560749038088832,2.0
12,12,4708427626,375026589211,0.00775146484375,0.01171875,1.0,0.005059715969110621,0.003560749038088832,1600.0
13,13,1315363965,375007087899,0.037353515625,0.0047531127929687,5.0,0.0070675866866430695,0.0049461597528609675,2836.0
14,14,4961928274,375026748211,0.03521728515625,0.0416259765625,5.0,0.0070675866866430695,0.0049461597528609675,1008.0
15,15,1315364390,375007087899,0.0025520324707031,0.0020942687988281,5.0,0.0070675866866430695,0.0049461597528609675,2836.0
16,16,4708427763,375026589211,0.0063400268554687,0.028656005859375,1.0,0.005059715969110621,0.003560749038088832,1600.0
17,17,1315364956,375007087899,0.0033454895019531,0.0029296875,5.0,0.0070675866866430695,0.0049461597528609675,2836.0
18,18,1315364128,375007087899,0.0220947265625,0.0057830810546875,5.0,0.0070675866866430695,0.0049461597528609675,2836.0
19,19,1315364754,375007087899,0.04254150390625,0.0105743408203125,5.0,0.0070675866866430695,0.0049461597528609675,2836.0
20,20,1315363871,375007087899,0.0057220458984375,0.0013027191162109,5.0,0.0070675866866430695,0.0049461597528609675,2836.0
21,21,1315364104,375007087899,0.0056381225585937,0.0013027191162109,5.0,0.0070675866866430695,0.0049461597528609675,2836.0
22,22,4961928360,375026748211,0.0070419311523437,0.0013027191162109,5.0,0.0070675866866430695,0.0049461597528609675,1008.0
23,23,4708427547,375026589211,0.0102081298828125,0.0065078735351562,1.0,0.005059715969110621,0.003560749038088832,1600.0
24,24,1910451330,375009383910,0.0043182373046875,0.0065078735351562,5.0,0.0070675866866430695,0.0049461597528609675,576.0
25,25,4962274923,375026760005,0.008270263671875,0.0065078735351562,5.0,0.0070675866866430695,0.0049461597528609675,992.0
26,26,4708427792,375026589211,0.007843017578125,0.0065078735351562,1.0,0.005059715969110621,0.003560749038088832,1600.0
27,27,4708427371,375026589211,0.0043182373046875,0.0065078735351562,1.0,0.005059715969110621,0.003560749038088832,1600.0
28,28,1315364410,375007087899,0.00457763671875,0.0065078735351562,5.0,0.0070675866866430695,0.0049461597528609675,2836.0
29,29,4962274939,375026760005,0.0051040649414062,0.0065078735351562,5.0,0.0070675866866430695,0.0049461597528609675,992.0
30,30,1315364899,375007087899,0.0073089599609375,0.0065078735351562,5.0,0.0070675866866430695,0.0049461597528609675,2836.0
31,31,4961928329,375026748211,0.0056381225585937,0.0065078735351562,5.0,0.0070675866866430695,0.0049461597528609675,1008.0
32,32,1315364698,375007087899,0.005279541015625,0.0065078735351562,5.0,0.0070675866866430695,0.0049461597528609675,2836.0
33,33,1315363960,375007087899,0.0044021606445312,0.0065078735351562,5.0,0.0070675866866430695,0.0049461597528609675,2836.0
34,34,4962274517,375026760005,0.0067825317382812,0.0065078735351562,5.0,0.0070675866866430695,0.0049461597528609675,992.0
35,35,1315364600,375007087899,0.0067825317382812,0.0065078735351562,5.0,0.0070675866866430695,0.0049461597528609675,2836.0
36,36,4961928045,375026748211,0.0074844360351562,0.0065078735351562,5.0,0.0070675866866430695,0.0049461597528609675,1008.0
37,37,1308601736,375007084316,0.0030860900878906,0.0010795593261718,1.0,0.005059715969110621,0.003560749038088832,2.0
38,38,709673916,375000726490,0.0003519058227539,0.001382827758789,5.0,0.0070675866866430695,0.0049461597528609675,2.0
39,39,1315365237,375007087899,0.002288818359375,0.0010910034179687,5.0,0.0070675866866430695,0.0049461597528609675,2836.0
40,40,1315365237,375007087899,0.002288818359375,0.0010910034179687,5.0,0.0070675866866430695,0.0049461597528609675,2836.0
41,41,1315365237,375007087899,0.002288818359375,0.0010910034179687,5.0,0.0070675866866430695,0.0049461597528609675,2836.0
42,42,1315365237,375007087899,0.002288818359375,0.0010910034179687,5.0,0.0070675866866430695,0.0049461597528609675,2836.0
43,43,1315365237,375007087899,0.002288818359375,0.0010910034179687,5.0,0.0070675866866430695,0.0049461597528609675,2836.0
44,44,1315365237,375007087899,0.002288818359375,0.0010910034179687,5.0,0.0070675866866430695,0.0049461597528609675,2836.0
45,45,1910451425,375009383910,0.0057220458984375,0.0130157470703125,5.0,0.0070675866866430695,0.0049461597528609675,576.0
